year,month,day,t(day),p(day),t(night),p(night),wspeed,wdir
1998,3,27,6,756,0,754,2,З
1998,3,28,6,754,0,754,3,ЮЗ
1998,3,29,6,754,0,753,2,З
1998,3,30,7,751,2,749,3,СЗ
1998,3,31,4,742,2,739,4,З
1998,4,1,5,729,-4,736,5,З
1998,4,2,-2,742,-5,744,4,СЗ
1998,4,3,-3,750,-6,750,2,З
1998,4,4,-1,750,-2,747,2,Ю
1998,4,5,0,747,-1,749,3,ЮВ
1998,4,6,-2,747,-2,746,3,Ю
1998,4,7,1,740,0,738,4,В
1998,4,8,8,737,5,736,4,З
1998,4,9,6,732,4,737,4,З
1998,4,10,-1,741,-1,746,5,С
1998,4,11,1,755,1,751,3,ЮЗ
1998,4,12,2,735,1,733,4,В
1998,4,13,1,738,1,729,4,В
1998,4,14,0,732,-1,737,4,З
1998,4,15,3,747,0,749,3,С
1998,4,16,5,751,1,750,1,З
1998,4,17,7,748,5,747,2,Ю
1998,4,18,11,749,7,749,5,В
1998,4,19,7,750,4,750,6,В
1998,4,20,8,753,6,753,4,ЮВ
1998,4,21,11,755,7,755,4,В
1998,4,22,13,756,8,755,3,В
1998,4,23,15,753,10,752,0,Ш
1998,4,24,18,749,11,748,3,З
1998,4,25,12,747,9,748,3,СВ
1998,4,26,14,752,8,752,2,СЗ
1998,4,27,16,754,11,753,4,ЮЗ
1998,4,28,18,753,13,752,4,З
1998,4,29,21,752,15,752,3,З
1998,4,30,18,753,12,753,5,С
1998,5,1,15,756,11,754,2,ЮВ
1998,5,2,21,750,16,750,4,ЮЗ
1998,5,4,17,743,13,742,4,ЮЗ
1998,5,5,15,738,14,735,6,ЮВ
1998,5,6,19,735,13,738,7,ЮЗ
1998,5,8,17,750,13,751,7,З
1998,5,9,19,752,15,751,7,З
1998,5,10,18,753,13,753,5,СЗ
1998,5,11,19,755,12,740,2,З
1998,5,12,23,748,16,747,5,ЮЗ
1998,5,13,11,744,9,744,4,СВ
1998,5,14,19,745,15,744,2,Ю
1998,5,18,18,757,12,756,2,В
1998,5,19,20,753,13,750,2,Ю
1998,5,20,22,746,15,744,5,Ю
1998,5,21,17,756,15,741,3,С
1998,5,22,22,737,14,736,2,СВ
1998,5,23,19,733,10,736,4,ЮЗ
1998,5,25,10,745,10,746,4,Ю
1998,5,26,20,750,15,750,5,ЮЗ
1998,5,27,24,748,16,748,6,Ю
1998,5,28,20,747,17,746,2,СВ
1998,5,31,15,745,12,747,3,С
1998,6,1,18,751,12,750,2,Ю
1998,6,2,23,749,16,748,3,ЮЗ
1998,6,5,25,750,20,749,4,СЗ
1998,6,7,21,754,16,753,2,С
1998,6,8,25,753,19,752,2,Ю
1998,6,10,29,749,26,747,2,З
1998,6,11,32,748,26,747,4,Ю
1998,6,12,29,747,26,745,2,Ю
1998,6,13,31,747,23,747,3,Ю
1998,6,14,34,748,29,748,1,В
1998,6,15,33,746,28,745,3,ЮВ
1998,6,16,23,748,16,752,6,Ю
1998,6,17,26,753,22,753,4,ЮЗ
1998,6,18,27,753,24,750,2,Ю
1998,6,19,30,750,28,748,5,В
1998,6,20,32,747,27,744,4,ЮВ
1998,6,21,26,744,21,742,2,ЮЗ
1998,6,22,18,739,16,737,2,З
1998,6,23,16,736,13,736,4,ЮЗ
1998,6,24,13,736,12,737,4,ЮЗ
1998,6,25,12,740,11,741,2,СЗ
1998,6,26,14,744,12,744,2,З
1998,6,27,13,744,12,745,3,С
1998,6,28,17,745,14,746,2,СЗ
1998,6,29,20,747,16,746,1,З
1998,6,30,20,742,20,743,4,З
1998,7,1,21,741,16,740,5,З
1998,7,2,20,738,18,735,2,Ю
1998,7,4,14,727,14,728,5,З
1998,7,5,15,731,14,733,4,ЮЗ
1998,7,6,19,736,14,737,3,З
1998,7,7,21,736,21,735,0,Ш
1998,7,8,20,736,16,737,5,ЮЗ
1998,7,9,21,739,21,738,2,ЮЗ
1998,7,10,30,740,25,739,4,ЮВ
1998,7,11,21,740,19,738,4,Ю
1998,7,12,18,736,16,736,6,Ю
1998,7,13,19,738,15,739,5,ЮЗ
1998,7,14,21,741,18,742,4,З
1998,7,15,28,744,23,744,3,ЮЗ
1998,7,16,22,744,19,745,3,СЗ
1998,7,17,29,741,25,739,3,В
1998,7,18,27,738,20,738,4,ЮВ
1998,7,19,18,741,17,745,4,З
1998,7,20,22,749,18,749,4,З
1998,7,21,21,750,18,749,2,ЮЗ
1998,7,22,25,749,21,749,3,СЗ
1998,7,23,27,750,24,748,2,ЮЗ
1998,7,24,24,747,19,747,2,ЮЗ
1998,7,25,25,745,22,744,2,З
1998,7,26,24,746,19,746,4,СЗ
1998,7,27,21,748,17,748,2,З
1998,7,28,23,748,18,747,2,С
1998,7,29,26,747,24,744,2,Ю
1998,7,30,27,745,21,746,1,Ю
1998,7,31,26,748,22,748,1,С
1998,8,1,29,749,21,750,2,СВ
1998,8,2,29,751,23,751,1,СЗ
1998,8,3,30,750,23,749,3,ЮВ
1998,8,4,30,746,24,744,4,З
1998,8,5,23,745,17,745,2,С
1998,8,6,20,745,16,744,0,Ш
1998,8,7,19,743,15,744,3,СЗ
1998,8,9,20,741,13,741,3,З
1998,8,10,17,735,13,734,1,З
1998,8,11,14,732,14,732,1,СЗ
1998,8,12,14,735,11,738,4,С
1998,8,13,11,744,9,746,5,С
1998,8,14,14,749,8,748,1,СЗ
1998,8,15,18,747,15,746,4,Ю
1998,8,16,19,746,14,747,1,ЮВ
1998,8,17,21,747,14,747,2,З
