,year,month,day,td,pd,cloudd,precipd,wdird,wsd,tn,pn,cloudn,precipn,wdirn,wsn
165,1997,9,15,13.0,750,dull,rain,СЗ,2,11.0,750,dull,,СЗ,2
166,1997,9,16,15.0,752,suncl,,З,3,7.0,753,suncl,,З,3
167,1997,9,17,19.0,753,suncl,,ЮЗ,3,10.0,738,sun,,ЮЗ,3
168,1997,9,18,20.0,747,sun,,З,5,12.0,747,sunc,,З,5
169,1997,9,19,16.0,745,suncl,,СЗ,4,8.0,746,dull,,СЗ,4
170,1997,9,20,11.0,747,dull,,С,1,5.0,747,suncl,,С,1
171,1997,9,21,10.0,746,sunc,,СЗ,4,5.0,746,suncl,,СЗ,4
172,1997,9,22,10.0,745,dull,,ЮЗ,5,9.0,744,dull,,ЮЗ,5
173,1997,9,23,10.0,746,sunc,,З,3,6.0,744,sunc,,З,3
174,1997,9,24,4.0,737,dull,rain,СЗ,4,2.0,739,suncl,,СЗ,4
175,1997,9,25,6.0,745,sunc,,ЮЗ,1,2.0,746,sun,,ЮЗ,1
176,1997,9,26,3.0,737,dull,,ЮВ,5,3.0,737,dull,,ЮВ,5
177,1997,9,27,3.0,735,dull,,ЮЗ,1,1.0,737,dull,rain,ЮЗ,1
178,1997,9,28,5.0,741,dull,rain,СЗ,1,3.0,742,dull,rain,СЗ,1
179,1997,9,29,6.0,744,suncl,,СВ,2,3.0,744,suncl,,СВ,2
180,1997,9,30,8.0,739,dull,rain,ЮВ,3,6.0,738,dull,rain,ЮВ,3
181,1997,10,1,2.0,737,dull,rain,Ю,2,1.0,738,sunc,,Ю,2
182,1997,10,2,6.0,738,dull,,Ю,5,6.0,738,dull,,Ю,5
183,1997,10,3,6.0,733,dull,rain,Ю,3,4.0,732,suncl,,Ю,3
184,1997,10,4,6.0,738,dull,,З,3,3.0,739,sunc,,З,3
185,1997,10,5,8.0,731,dull,,Ю,7,8.0,723,dull,rain,Ю,7
186,1997,10,6,5.0,728,dull,rain,СЗ,6,5.0,735,dull,,СЗ,6
187,1997,10,7,7.0,738,suncl,rain,СЗ,5,3.0,743,sunc,,СЗ,5
188,1997,10,8,6.0,747,sunc,,СЗ,3,-1.0,747,sun,,СЗ,3
189,1997,10,9,10.0,742,dull,rain,СЗ,3,8.0,740,dull,,СЗ,3
190,1997,10,10,16.0,731,dull,,ЮЗ,4,14.0,730,dull,,ЮЗ,4
191,1997,10,11,15.0,734,dull,,ЮВ,4,15.0,730,dull,,ЮВ,4
192,1997,10,12,14.0,735,suncl,,ЮЗ,5,9.0,738,sunc,,ЮЗ,5
193,1997,10,13,12.0,739,dull,rain,В,9,9.0,736,dull,,В,9
194,1997,10,14,10.0,729,dull,,ЮЗ,4,7.0,736,dull,,ЮЗ,4
195,1997,10,15,7.0,744,dull,,В,2,4.0,739,dull,rain,В,2
196,1997,10,16,5.0,741,dull,,Ш,0,5.0,742,dull,,Ш,0
197,1997,10,17,4.0,750,dull,rain,СЗ,3,2.0,754,suncl,,СЗ,3
198,1997,10,18,4.0,758,suncl,,ЮЗ,2,3.0,757,suncl,,ЮЗ,2
199,1997,10,19,5.0,751,suncl,,ЮЗ,6,4.0,750,sunc,,ЮЗ,6
200,1997,10,20,5.0,743,dull,,Ю,4,6.0,741,dull,,Ю,4
201,1997,10,21,8.0,739,dull,rain,ЮЗ,5,3.0,739,dull,rain,ЮЗ,5
202,1997,10,22,1.0,744,dull,,З,2,0.0,747,suncl,,З,2
203,1997,10,23,2.0,746,dull,,Ю,4,1.0,744,suncl,,Ю,4
204,1997,10,24,6.0,741,dull,,ЮЗ,5,5.0,740,dull,,ЮЗ,5
205,1997,10,25,2.0,739,suncl,,З,5,-1.0,742,sun,,З,5
206,1997,10,26,1.0,746,sunc,,ЮЗ,4,-1.0,747,sun,,ЮЗ,4
207,1997,10,27,0.0,748,dull,,Ю,5,-1.0,749,dull,snow,Ю,5
208,1997,10,28,-2.0,753,dull,,З,3,-4.0,754,dull,,З,3
209,1997,10,29,-2.0,750,dull,snow,ЮЗ,3,-1.0,747,dull,snow,ЮЗ,3
210,1997,10,30,-2.0,753,dull,,С,3,-5.0,741,dull,,С,3
211,1997,10,31,0.0,756,dull,,З,3,1.0,754,dull,,З,3
212,1997,11,1,2.0,747,dull,,З,4,2.0,744,dull,,З,4
213,1997,11,2,0.0,737,dull,snow,ЮЗ,5,0.0,737,dull,snow,ЮЗ,5
214,1997,11,3,-1.0,738,dull,,СЗ,1,-2.0,739,dull,,СЗ,1
215,1997,11,7,0.0,744,dull,,ЮЗ,5,1.0,744,dull,,ЮЗ,5
216,1997,11,8,2.0,746,dull,,ЮЗ,2,2.0,746,dull,rain,ЮЗ,2
217,1997,11,9,5.0,744,sun,,Ю,4,5.0,742,sun,,Ю,4
218,1997,11,10,8.0,745,dull,,З,4,5.0,749,dull,,З,4
219,1997,11,11,3.0,752,dull,,В,3,4.0,752,dull,rain,В,3
220,1997,11,12,6.0,750,dull,,Ю,5,6.0,750,dull,rain,Ю,5
221,1997,11,13,4.0,754,dull,,С,1,4.0,756,dull,,С,1
222,1997,11,14,6.0,755,dull,,Ю,6,5.0,755,dull,,Ю,6
223,1997,11,15,1.0,753,dull,,ЮВ,5,0.0,752,dull,,ЮВ,5
224,1997,11,16,-2.0,752,dull,,Ю,2,-2.0,750,dull,snow,Ю,2
225,1997,11,17,-1.0,747,dull,snow,В,1,-2.0,749,dull,snow,В,1
226,1997,11,18,-2.0,756,suncl,,СВ,3,-6.0,758,sun,,СВ,3
227,1997,11,19,-4.0,757,dull,,В,3,-4.0,757,sunc,,В,3
228,1997,11,20,-1.0,754,sun,,В,3,-4.0,752,sunc,,В,3
229,1997,11,21,0.0,750,dull,,СВ,2,-1.0,752,dull,,СВ,2
230,1997,11,22,-2.0,759,dull,,В,3,-2.0,761,dull,,В,3
231,1997,11,23,-3.0,762,dull,,ЮВ,4,-3.0,762,dull,,ЮВ,4
232,1997,11,24,-2.0,761,dull,,Ю,2,-3.0,760,dull,,Ю,2
233,1997,11,25,-3.0,755,dull,,ЮВ,3,-1.0,753,dull,,ЮВ,3
234,1997,11,26,-1.0,752,dull,,Ю,3,0.0,751,dull,,Ю,3
235,1997,11,27,0.0,745,dull,snow,ЮЗ,4,-1.0,746,dull,,ЮЗ,4
236,1997,11,28,-3.0,748,suncl,snow,З,4,-4.0,748,dull,,З,4
237,1997,11,29,-6.0,752,dull,snow,СЗ,3,-11.0,753,sunc,,СЗ,3
238,1997,11,30,-10.0,756,dull,,З,1,-13.0,756,suncl,,З,1
239,1997,12,1,-9.0,757,dull,,В,1,-9.0,759,dull,,В,1
240,1997,12,2,-13.0,759,sun,,В,2,-16.0,756,sun,,В,2
241,1997,12,3,-6.0,750,dull,,ЮВ,5,-6.0,748,dull,snow,ЮВ,5
242,1997,12,4,-5.0,742,dull,snow,ЮВ,2,-5.0,742,dull,,ЮВ,2
243,1997,12,5,-2.0,741,dull,rain,СВ,2,0.0,741,dull,snow,СВ,2
